Tract,County,City,ZIP Code,Chicago Community Area,Hardship Index,Population,Male,Female,Median age,Age <18,Age 18-64,Age 65+,White,Black,American Indian,Asian,Hispanic/Latino,Housing units,Occupied,Vacant,Households,Family households,Female-headed family households,Living alone,Average household size,Women 15-50 with recent birth,% of births to unmarried women,High school graduation rate,College graduation rate,Disability (children),Disability (working-age adults),Disability (elderly),Native,Foreign born,Non-citizens,Speak Spanish at home,Speak English poorly,Labor force participation,Unemployment,Drive alone to work,Public transportation to work,Bike to work,Walk to work,Mean travel time to work,Households with earnings,Households with Social Security income,Households with food stamps/SNAP,Household median income,Household mean income,Per capita income,Median earnings for workers,"Median earnings, male","Median earnings, female",Female earnings differential,Uninsured,Children Uninsured,Private Health Insurance,Employer-Based Health Insurance,Medicare,Medicaid,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,"Household median income, Black","Household median income, Asian","Household median income, Non-Hispanic White","Household median income, Hispanic",White-Black household income differential,White-Hispanic household income differential,Single housing unit,2-4 housing units in building,5+ housing units in building,Built 1979 or earlier,Built 1939 or earlier,Owner occupied,Renter occupied,Moved in before 1990,Utility gas heat,Electric heat,Combustion fuel heat,No heat,Lacking complete plumbing,No telephone service,Median year structure built,Median gross rent,Rent-burdened,Severely rent-burdened,Median value,Median selected monthly owner costs,Housing units with mortgage,Population (2010),"Population Change, 2000-2010",Household Median income (2005-2009),"Household median income, 5-year change",Unemployment (2005-2009),"Unemployment, 5-year change",Median value (2005-2009),"Median value, 5-year change",Poverty rate (2005-2009),Child poverty rate (2005-2009),"Poverty rate, 5-year change","Child poverty rate, 5-year change",Median gross rent (2005-2009),"Median gross rent, 5-year change",Walk Score,Disconnected youth,Crowded housing
17019001000,Champaign County,Champaign,61821,,29.4,4512,51.596,48.404,36,18.196,71.299,10.505,73.781,16.334,0.355,4.566,0.687,2352,89.796,10.204,2112,54.735,11.79,42.045,2.08,12.016,51.24,96.999,45.377,9.622,8.239,29.621,93.706,6.294,4.965,0.441,0.539,71.214,7.843,70.766,6.998,1.781,2.567,,79.309,20.313,16.951,42337,63929,30916,29564,32604,24797,,14.441,0,59.51,51.916,13.965,28.701,14.1,39.267,39.764,22.263,50.698,58.952,14.962,5.687,7247,22135,49861,,0.145,,62.16,5.995,31.845,92.56,36.947,48.722,51.278,20.644,75.616,20.833,0.994,1.042,0,1.989,1950,712,58.541,32.502,131700,729,57.143,4510,-1.593,33865,25.017,3.078,4.765,134292,-1.93,23.362,42.823,-1.099,16.129,652,9.177,,0,0.9
17019001100,Champaign County,Champaign,61821,,26,3903,49.424,50.576,40.8,22.572,59.928,17.499,79.375,7.584,0,2.818,7.276,1813,93.822,6.178,1701,63.845,7.525,31.217,2.29,2.353,0,98.716,60.164,0,1.378,25.037,93.851,6.149,2.716,4.191,0.944,71.619,4.654,70.915,5.649,3.315,1.261,,82.892,23.516,0.47,72926,91006,40221,41775,47431,36471,,4.452,4.881,89.629,75.09,17.293,4.529,3.867,7.323,12.121,3.005,14.667,6.085,2.309,1.464,58348,71354,74299,67813,,,92.995,2.592,4.413,95.698,20.077,77.954,22.046,27.69,82.951,16.108,0,0,0.552,0.588,1953,1066,24.533,8.8,160000,1079,62.443,3599,-2.095,72501,0.586,1.613,3.041,180307,-11.262,3.713,5.772,-0.708,0.313,775,37.613,,0,0.353
17019001201,Champaign County,Champaign,61821|61826,,38.4,6822,47.318,52.682,31.7,26.972,62.43,10.598,57.534,23.234,0,11.228,4.588,3093,91.206,8.794,2821,54.803,18.291,35.519,2.42,4.438,39.241,94.202,33.404,3.152,6.194,42.739,85.884,14.116,8.37,4.612,2.659,73.516,8.463,83.114,5.457,1.8,0.4,,85.36,19.816,11.273,44977,50631,21381,28568,35929,23794,0.662,11.642,3.587,69.751,59.849,10.757,17.81,20.44,28.368,26.923,22.032,27.129,44.022,14.417,10.927,25774,75938,50691,46250,0.508,,70.482,2.328,27.19,77.142,2.877,58.915,41.085,18.894,68.486,31.159,0,0,0,0.496,1971,839,40.293,22.347,123500,1076,77.377,6590,-1.612,52485,-14.305,7.111,1.352,130872,-5.633,11.066,17.328,10.966,26.694,911,-7.951,,3.03,3.084
17019001203,Champaign County,Champaign,61821,,26.8,4959,50.474,49.526,37.5,22.585,63.803,13.612,82.658,9.135,0,3.509,0.827,2022,98.863,1.137,1999,72.486,9.355,23.662,2.43,3.825,41.463,98.515,50.672,3.929,4.351,28.76,94.434,5.566,1.492,1.39,0.278,73.266,2.428,78.875,1.488,2.505,0.581,15.741,82.891,22.061,3.802,75243,89395,36870,39083,42458,33913,,6.545,4.107,82.109,71.625,13.767,9.787,7.039,16.207,23.364,9.644,27.642,18.816,6.764,8.76,75250,146136,74667,2500,,,97.428,0.495,2.077,67.606,0,83.192,16.808,18.609,82.141,17.509,0.35,0,0,1.651,1975,1026,43.155,19.345,147100,1058,72.399,4592,-8.197,72224,4.18,2.039,0.389,161438,-8.881,4.897,10.41,4.747,8.406,1027,-0.13,,0,1.201
17019001204,Champaign County,Champaign,61822,,23.8,3655,51.409,48.591,44,28.974,60.164,10.862,74.555,1.505,0.684,20.41,1.696,1333,94.299,5.701,1257,83.93,4.057,14.797,2.91,2.586,0,98.29,67.501,4.249,4.366,18.64,86.648,13.352,2.818,2.417,1.669,70.317,3.535,85.003,0.83,1.107,0.996,17.576,92.283,22.434,0.636,115313,135280,46648,59315,91000,39750,0.437,2.408,3.305,94.282,82.025,11.819,2.572,0.758,1.299,0,1.149,0,0.85,1.501,0,58906,121563,116759,106250,0.505,,92.198,1.65,6.152,23.031,1.65,91.806,8.194,9.149,88.465,10.819,0.716,0,1.2,0.716,1995,801,32.039,0,272400,1785,73.31,3622,29.821,123734,-6.806,4.499,-0.964,278074,-2.04,2.744,3.484,-1.595,-2.634,975,-17.886,,0,0.557
17019001205,Champaign County,Champaign,61822,,25.3,5976,45.331,54.669,35.1,25.05,65.88,9.07,70.733,5.305,0,18.591,4.568,2388,97.236,2.764,2322,64.513,8.742,25.194,2.57,4.325,9.459,97.832,67.909,1.269,3.962,30.627,80.907,19.093,5.974,2.912,2.592,71.084,2.938,88.713,0.254,0,0,18.884,87.941,18.949,3.273,90870,127224,50078,46568,66379,36744,0.554,3.146,4.409,90.579,76.489,9.22,6.124,8.011,14.401,22.944,10.074,13.953,10.955,10.668,3.321,55404,71103,95516,200306,0.58,,70.268,7.705,22.027,4.481,0,63.609,36.391,1.206,66.968,26.227,0,0.474,0,0.603,2003,1156,40.355,32.663,262100,1680,79.215,5037,164.687,109081,-16.695,2.931,0.007,274323,-4.456,6.07,6.051,4.004,4.904,1194,-3.179,,7.5,1.12
17019001206,Champaign County,Champaign,61822,,23,1654,50.06,49.94,57.1,15.478,52.479,32.044,86.88,2.116,0,7.799,2.479,801,95.381,4.619,764,72.775,7.592,21.728,2.16,1.802,0,99.023,56.767,0,4.839,23.019,93.531,6.469,1.391,0.375,0,51.368,3.462,91.279,0,0.581,0,,71.335,41.361,5.759,100625,131269,60743,51985,77981,22404,0.287,2.842,2.734,89.057,68.561,30.774,4.534,0,0,0,0.726,0,0,0.461,1.509,113125,102404,96964,,,,88.639,7.241,4.12,53.184,0.874,90.314,9.686,17.016,82.984,17.016,0,0,0,1.047,1979,769,62.162,6.757,252700,1273,60.435,1831,-6.247,116076,-13.311,3.616,-0.154,282599,-10.58,0.24,0,0.486,0,1099,-30.031,,18.63,0
17019001301,Champaign County,Champaign,61821|61820,,23.9,5950,48.067,51.933,38.8,14.37,66.79,18.84,80.605,6.672,0,7.429,4.151,3101,92.39,7.61,2865,55.742,2.862,32.67,2.07,6.523,23.404,96.58,63.147,1.41,4.534,30.865,88.42,11.58,5.395,3.278,1.236,67.422,2.096,79.25,3.961,1.249,2.986,,79.302,29.389,3.979,69035,82730,40084,38626,52731,29246,0.555,6.597,0,84.921,70.683,18.327,6.866,1.19,0,0,6.953,0,0,9.899,1.606,17160,64464,72298,30347,,,69.881,13.609,16.511,66.398,3.322,71.169,28.831,22.408,78.848,20.14,0,0,0,0.489,1976,998,37.046,15.133,167800,1086,70.476,6081,-4.176,60810,13.526,3.263,-1.167,186155,-9.86,9.699,11.639,-2.746,-11.639,952,4.8,,7.24,0
17019001302,Champaign County,Savoy,61874,,28,3903,47.348,52.652,52.6,14.399,56.828,28.773,78.786,6.892,0,8.762,4.253,1856,94.881,5.119,1761,61.897,4.713,36.229,2.13,2.439,0,96.104,58.377,1.068,9.087,40.102,84.499,15.501,11.171,2.057,2.11,53.371,3.601,75.639,3.565,0.772,1.01,,68.313,35.945,2.101,75250,97592,45639,39110,52411,34244,0.653,2.966,0,89.073,70.826,26.93,4.622,3.028,2.071,7.071,5.103,5.405,2.135,7.133,2.245,129911,42292,72986,103750,1.78,,69.989,7.597,22.414,22.791,0.485,72.232,27.768,14.821,77.513,22.147,0,0,0,1.079,1987,989,48.057,31.084,198600,1119,56.447,4199,-0.592,83024,-9.364,0.863,2.738,210542,-5.672,4.568,7.705,0.535,-5.57,1003,-1.401,,,0.398
17019001400,Champaign County,Savoy,61874,,28.7,6641,51.784,48.216,19.9,16.338,78.708,4.954,61.828,5.827,0.166,17.046,10.977,1434,90.516,9.484,1298,63.713,7.55,24.576,2.83,3.116,0,98.289,73.682,1.567,2.066,38.298,83.271,16.729,13.085,9.868,2.43,44.203,8.517,58.337,8.493,1.112,10.049,16.219,84.361,18.336,4.314,61538,79226,17055,4483,5030,3782,,5.421,4.885,87.788,69.914,4.969,7.74,6.167,6.897,11.726,14.97,18.039,9.511,16.976,19.149,103232,54519,52875,113346,,,56.067,2.232,41.702,34.868,0.767,54.16,45.84,4.314,72.419,25.732,0,0,2.859,9.014,1998,669,46.387,24.874,221200,1626,85.633,6877,43.75,38897,58.208,12.649,-4.132,240667,-8.089,22.464,9.483,-7.494,0.028,725,-7.722,,0,0.77
