Tract,County,City,ZIP Code,Chicago Community Area,Hardship Index,Population,Male,Female,Median age,Age <18,Age 18-64,Age 65+,White,Black,American Indian,Asian,Hispanic/Latino,Housing units,Occupied,Vacant,Households,Family households,Female-headed family households,Living alone,Average household size,Women 15-50 with recent birth,% of births to unmarried women,High school graduation rate,College graduation rate,Disability (children),Disability (working-age adults),Disability (elderly),Native,Foreign born,Non-citizens,Speak Spanish at home,Speak English poorly,Labor force participation,Unemployment,Drive alone to work,Public transportation to work,Bike to work,Walk to work,Mean travel time to work,Households with earnings,Households with Social Security income,Households with food stamps/SNAP,Household median income,Household mean income,Per capita income,Median earnings for workers,"Median earnings, male","Median earnings, female",Female earnings differential,Uninsured,Children Uninsured,Private Health Insurance,Employer-Based Health Insurance,Medicare,Medicaid,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,"Household median income, Black","Household median income, Asian","Household median income, Non-Hispanic White","Household median income, Hispanic",White-Black household income differential,White-Hispanic household income differential,Single housing unit,2-4 housing units in building,5+ housing units in building,Built 1979 or earlier,Built 1939 or earlier,Owner occupied,Renter occupied,Moved in before 1990,Utility gas heat,Electric heat,Combustion fuel heat,No heat,Lacking complete plumbing,No telephone service,Median year structure built,Median gross rent,Rent-burdened,Severely rent-burdened,Median value,Median selected monthly owner costs,Housing units with mortgage,Population (2010),"Population Change, 2000-2010",Household Median income (2005-2009),"Household median income, 5-year change",Unemployment (2005-2009),"Unemployment, 5-year change",Median value (2005-2009),"Median value, 5-year change",Poverty rate (2005-2009),Child poverty rate (2005-2009),"Poverty rate, 5-year change","Child poverty rate, 5-year change",Median gross rent (2005-2009),"Median gross rent, 5-year change",Walk Score,Disconnected youth,Crowded housing
17031061800,Cook County,Chicago,60657,Lake View,21.6,1130,52.92,47.08,29.8,6.106,89.204,4.69,75.133,2.92,0,9.381,10.973,721,94.175,5.825,679,18.704,4.713,62.297,1.53,0,0,94.344,69.794,0,0.893,41.509,76.283,23.717,16.018,10.743,0,80.242,5.807,16.772,53.216,1.639,9.71,,90.427,7.364,3.829,49448,59895,36882,35766,48169,16154,0.335,19.292,0,73.363,60.619,4.69,7.168,19.685,26.531,0,20.749,0,27.536,21.436,0,41458,14643,50809,21411,,,4.438,5.132,90.43,95.839,34.397,19.882,80.118,6.333,79.529,14.728,0,1.767,0,2.209,1954,1100,45.221,28.309,288800,1654,69.63,1112,-14.396,47628,3.821,7.252,-1.445,373856,-22.751,10.292,0,10.457,27.536,1022,7.652,94,0,0.736
17031061901,Cook County,Chicago,60657,Lake View,19.3,3785,43.118,56.882,31.7,10.04,82.246,7.715,73.923,3.884,0.317,8.534,11.968,2436,97.824,2.176,2383,21.611,5.875,62.149,1.59,0,0,97.724,74.364,0,1.478,25.342,83.17,16.83,6.737,5.318,2.591,83.877,5.077,22.168,55.926,2.138,6.977,,85.942,9.064,6.337,49796,80704,52124,45244,50436,41727,,8.956,0,83.118,73.871,8.983,3.382,8.155,0,0,11.308,0,0,12.271,15.753,5268,35750,56528,45083,,,3.612,5.337,88.629,94.13,31.363,28.41,71.59,4.154,74.318,16.492,3.819,2.644,0,2.728,1962,1053,46.424,17.292,293300,2087,83.309,3433,,,,,,,,,,,,,,93,,1.888
17031061902,Cook County,Chicago,60657,Lake View,14.5,4045,49.617,50.383,35.6,2.373,80.989,16.638,79.407,4.845,0,9.098,5.34,3255,85.745,14.255,2791,20.494,1.827,64.601,1.45,0,0,99.097,78.567,0,3.449,26.003,84.969,15.031,8.85,3.271,1.14,70.437,3.118,24.508,51.818,1.667,7.008,30.522,78.574,20.208,5.733,50732,87830,61925,38843,50259,33491,,8.578,0,84.03,63.362,17.627,4.475,0,0,0,12.386,0,0,13.4,9.212,37672,46615,52320,45781,,,1.782,1.505,96.713,96.037,39.017,24.83,75.17,9.244,67.897,23.647,0.967,1.971,1.782,3.01,1954,1062,53.575,29.504,320100,2224,69.553,4240,,,,,,,,,,,,,,25,,0
17031062000,Cook County,Chicago,60657,Lake View,11.4,2897,50.742,49.258,32.3,6.559,88.781,4.66,81.015,5.281,0,6.213,3.659,1614,93.309,6.691,1506,23.639,2.988,42.165,1.92,3.99,0,98.958,73.556,10.526,4.821,25.185,90.231,9.769,4.315,4.623,2.131,89.435,2.52,25.021,57.266,1.591,6.277,36.478,97.278,5.91,3.652,80745,108571,58394,45915,54193,40372,0.745,8.008,0,87.297,78.599,5.868,1.415,4.213,8.738,0,9.078,0,4.737,8.904,18.519,,114375,81104,34397,,0.424,7.497,21.19,71.314,84.511,53.408,35.126,64.874,5.179,76.096,20.385,0.465,0.531,1.859,2.722,1939,1182,42.784,13.613,340400,2129,79.017,2569,-5.028,90869,-11.141,2.259,0.261,404642,-15.876,6.196,0,2.882,4.737,1261,-6.285,92,,1.793
17031062100,Cook County,Chicago,60657,Lake View,10.8,3372,57.473,42.527,29.1,5.486,89.887,4.626,84.668,0.652,0,6.702,6.673,1900,83.947,16.053,1595,23.887,1.254,37.806,2.11,4.6,0,98.248,76.495,0,5.015,57.051,92.408,7.592,4.122,3.487,1.961,88.045,3.029,24.432,58.287,1.266,5.214,31.671,88.464,7.649,6.332,101275,131095,65476,51096,55259,47824,,10.765,4.865,86.773,76.631,4.241,1.631,5.512,0,0,13.464,0,0,12.339,51.282,,165338,103321,69583,,,4.105,45.316,50.579,68.947,50.053,36.991,63.009,3.699,84.577,10.784,1.129,1.066,0.947,5.204,1939,1561,28.458,11.244,392600,2265,82.203,3436,9.882,71285,42.071,11.119,-8.09,499320,-21.373,21.098,22.581,-7.634,-22.581,1344,16.144,92,,0.439
17031062200,Cook County,Chicago,60657,Lake View,8.6,2987,52.327,47.673,28.5,9.274,89.789,0.937,84.198,3.549,0,4.888,5.357,1509,89.728,10.272,1354,35.968,2.363,27.179,2.21,7.764,29.348,98.598,82.077,0,4.048,42.857,96.82,3.18,1.172,4.093,0.323,90.295,4.332,33.405,44.67,1.165,3.625,34.291,96.972,0.886,3.84,112564,142321,66763,55134,67458,50377,,4.003,0,90.212,79.516,2.018,5.785,4.928,8.197,0,10.968,0,6.557,11.484,0,50968,104479,120976,97721,0.421,,15.772,51.756,32.472,48.376,26.773,35.081,64.919,1.477,86.337,10.783,0,1.034,3.976,3.471,1982,1665,26.166,10.011,449000,2766,82.947,2870,2.867,125388,-10.227,0.848,3.484,520065,-13.665,5.691,0,5.277,6.557,1495,11.356,85,,0
17031062300,Cook County,Chicago,60657,Lake View,12.5,1716,54.371,45.629,28.7,18.065,79.662,2.273,87.879,0.35,0,4.837,4.138,730,94.658,5.342,691,41.245,3.907,16.064,2.48,3.852,0,99.039,88.551,0,1.609,35.897,95.221,4.779,2.972,2.61,0,89.348,8.549,38.422,43.225,0.515,3.774,33.653,91.317,7.959,6.223,112768,193083,81013,54716,60337,49537,,11.305,0,80.944,73.31,2.273,7.925,9.474,14.917,0,11.655,0,17.419,10.68,0,,250000,111076,,,,32.329,51.233,16.438,60.685,42.055,44.863,55.137,3.039,93.488,4.776,0,0,0,0,1957,1685,30.971,25.722,696400,3400,81.29,1513,-5.26,111037,1.559,2.729,5.82,945453,-26.342,3.831,0,7.824,17.419,1653,1.936,91,,0
17031062400,Cook County,Chicago,60657,Lake View,13,1622,44.76,55.24,30.2,17.879,75.216,6.905,88.594,1.85,0,3.576,5.24,798,90.476,9.524,722,44.183,2.355,36.011,2.25,7.692,0,97.25,82.167,0.69,0,56.25,95.931,4.069,0.74,3.739,0,85.851,1.803,29.939,49.078,1.054,4.126,,83.657,11.496,2.632,117368,144332,66425,63438,79853,51156,0.641,2.713,0,91.184,81.319,6.905,2.219,0.313,0.654,1.01,1.665,1.325,1.379,1.393,5.357,,176250,130714,54097,,,17.544,59.023,23.434,54.01,39.223,41.413,58.587,1.662,87.95,9.557,0,0.831,2.882,1.801,1968,1799,37.352,18.913,549300,3055,92.308,1421,4.716,106975,9.715,0,1.803,736787,-25.447,5.088,0,-3.423,1.379,1324,35.859,96,,0
17031062500,Cook County,Chicago,60657,Lake View,7.3,1342,54.471,45.529,30.4,10.656,87.63,1.714,87.928,0,0,5.142,4.471,743,89.771,10.229,667,37.631,1.499,38.681,2.01,8.097,0,100,89.017,0,3.231,0,93.815,6.185,0.969,1.601,0.32,90.742,4.044,46.687,39.042,0,3.058,34.232,94.603,3.748,2.849,102250,138684,71198,54500,86484,43160,0.499,6.334,0,90.611,80.924,2.459,2.534,1.992,5.747,7.353,10.432,12.903,11.888,10.459,0,,48828,103194,,,,9.287,53.432,37.281,68.371,56.931,46.327,53.673,5.247,88.606,10.645,0,0.75,2.557,1.649,1939,1496,32.961,14.246,398700,2380,89.644,1497,1.286,103200,-0.921,3.426,0.618,429250,-7.117,10.706,0,-0.274,11.888,1401,6.75,96,,0
17031062600,Cook County,Chicago,60657,Lake View,17.6,2281,47.611,52.389,32,25.647,70.802,3.551,74.879,0.921,0,7.804,12.845,993,95.972,4.028,953,51.941,1.469,31.794,2.39,6.431,0,95.016,80.447,1.026,1.672,30.864,86.409,13.591,5.524,12.106,4.152,81.196,7.148,49.885,30.254,1.694,2.694,34.302,92.865,8.08,2.518,95491,159333,67540,55074,91250,50089,,8.856,0.684,84.349,74.134,3.551,3.77,3.838,5.81,9.744,3.463,7.447,7.009,2.353,0,,184250,99271,38958,,0.392,36.556,34.038,29.406,48.137,37.865,62.539,37.461,8.499,92.13,7.24,0,0,0,1.049,1985,1306,33.894,25.49,598200,3063,88.591,2226,73.5,87013,9.743,1.615,5.533,679075,-11.91,3.238,1.01,0.225,5.999,1121,16.49,90,,0
17031062700,Cook County,Chicago,60657,Lake View,17,2757,54.951,45.049,30.3,15.996,79.398,4.606,87.559,0.58,0,1.415,6.347,1302,91.475,8.525,1191,42.989,6.633,33.501,2.29,4.707,56.098,95.2,77.67,1.814,5.071,14.173,90.968,9.032,5.005,5.811,0.746,81.413,2.788,34.918,38.306,1.858,3.77,31.685,86.566,9.656,7.473,100625,136064,60278,54641,78350,43649,0.557,8.778,5.669,83.098,76.786,4.969,6.71,2.734,5.426,9.655,15.851,14.762,10.431,16.126,29.921,,108906,102292,84750,,,13.134,64.593,22.273,60.599,43.548,38.287,61.713,6.297,77.834,21.327,0,0,0,1.931,1954,1219,34.558,16.19,533200,3125,79.825,2724,12.284,108002,-6.83,0,2.788,581198,-8.258,10.282,8.989,5.569,1.442,1465,-16.815,93,0,0
17031062800,Cook County,Chicago,60657,Lake View,14.4,3792,45.939,54.061,29.5,16.06,79.14,4.8,81.461,3.903,0,4.299,8.597,1655,94.985,5.015,1572,43.957,1.654,30.662,2.41,5.671,7.595,98.255,85.395,1.806,2.932,37.912,91.377,8.623,4.351,6.083,0.695,87.997,4.024,36.719,37.058,2.445,5.004,35.505,94.02,11.45,0.891,116310,154702,66753,53103,66929,49750,0.743,5.301,0,92.695,78.639,5.195,1.028,1.158,2.305,3.347,7.753,2.353,2.627,8.464,13.187,38152,117604,128278,82361,0.297,0.642,28.157,48.943,22.9,64.29,44.23,50.254,49.746,10.178,95.038,2.354,0,0,0,2.29,1955,1740,27.749,18.414,498000,2661,83.418,3506,9.837,110938,4.842,5.162,-1.138,614412,-18.947,6.346,0,1.407,2.627,1511,15.182,90,,1.081
17031062900,Cook County,Chicago,60657,Lake View,7.5,4176,55.867,44.133,28.5,8.956,87.524,3.52,87.931,0.263,0,6.106,3.352,1916,96.451,3.549,1848,32.413,5.898,34.307,2.26,7.533,0,98.617,86.059,0,3.529,38.776,93.942,6.058,2.538,2.167,0.637,85.902,2.327,36.439,43.516,3.362,3.842,32.062,96.699,2.868,1.028,115526,161900,76326,57559,75219,51786,,3.999,0,94.373,86.83,3.209,0.455,3.172,0,0,12.907,0,0,14.555,4.762,,195238,124150,,,,14.196,40.397,45.407,63.048,50.783,45.238,54.762,3.193,85.444,10.66,0.758,1.569,0,2.219,1939,1699,33.399,12.945,485900,2810,89.713,3976,12.19,119500,-3.326,2.366,-0.039,565197,-14.03,9.844,0,3.063,0,1504,12.963,84,,0
17031063000,Cook County,Chicago,60657,Lake View,13.2,3055,48.282,51.718,28.2,7.169,90.736,2.095,78.036,2.226,0.458,5.892,9.427,1846,91.008,8.992,1680,24.167,3.869,55.476,1.8,1.35,0,98.48,87.68,0,2.237,0,90.507,9.493,6.972,7.498,1.057,92.243,6.881,25.072,53.602,1.441,11.857,27.818,94.702,1.429,3.512,85426,105103,61154,52522,62054,47563,0.766,12.582,0,84.305,76.081,1.704,2.425,3.448,0,0,15.781,0,0,16.703,29.508,33750,91304,86463,75294,,,2.384,24.269,73.348,81.148,49.025,28.631,71.369,4.821,72.56,21.429,0,2.202,0.813,3.155,1944,1183,35.029,22.269,372400,2494,78.586,2973,-6.598,78760,8.464,2.842,4.039,539818,-31.014,19.391,5.22,-3.61,-5.22,1202,-1.554,89,,0.893
17031063100,Cook County,Chicago,60657,Lake View,12.2,2399,48.645,51.355,29.8,10.546,88.495,0.959,79.2,0,0,6.836,7.753,1379,97.825,2.175,1349,27.502,2.001,52.187,1.77,1.889,35,99.776,81.019,2.372,1.46,0,89.246,10.754,8.045,7.399,0.177,87.418,0.64,23.027,62.054,4.108,5.081,33.637,93.551,0.815,1.557,84896,113534,65666,55507,56815,54395,,9.212,2.372,87.453,74.198,0.959,3.335,1.078,2.312,0,12.322,0,2.419,13.613,0,,60833,88571,36027,,0.407,6.672,15.446,77.883,70.848,42.567,31.282,68.718,0,81.616,14.529,0.593,3.262,0.798,4.077,1949,1175,31.715,20.496,354400,2200,86.73,2173,-4.777,62203,36.482,7.264,-6.624,399456,-11.279,17.253,0,-4.931,2.419,1081,8.655,92,,2.076
17031063200,Cook County,Chicago,60657,Lake View,17.3,6580,48.936,51.064,31.9,10.03,76.672,13.298,78.678,3.754,0,13.131,2.66,4394,94.401,5.599,4148,23.24,2.218,68.177,1.54,1.129,0,97.623,83.363,0,7.511,20.193,79.134,20.866,13.359,1.596,2.113,74.83,5.11,21.646,54.31,1.719,6.731,33.046,84.402,16.345,0.506,54187,100134,64073,50041,65000,43074,0.663,7.331,0,84.137,69.844,13.753,4.821,9.129,20.513,0,13.076,0,13.939,14.602,3.144,14849,41960,56042,65543,,,4.051,7.988,87.961,94.037,28.198,35.776,64.224,11.307,64.585,31.943,0.627,0.916,0.66,2.411,1962,1085,40.053,21.772,354500,1886,59.838,6345,-10.508,62408,-13.173,3.837,1.273,376283,-5.789,10.478,0,2.598,13.939,1121,-3.222,19,0,0.434
17031063301,Cook County,Chicago,60657,Lake View,20.9,2626,39.604,60.396,30,1.866,85.529,12.605,71.287,10.168,0,9.292,6.588,1887,96.237,3.763,1816,15.088,2.368,70.595,1.45,0.826,0,98.25,72.974,0,5.99,30.514,85.415,14.585,7.045,3.958,2.872,76.601,2.786,27.41,61.282,0,7.035,36.852,81.938,13.987,7.324,43958,56818,40827,38493,50184,36126,,8.139,0,74.627,67.673,14.635,7.681,12.044,0,0,22.81,0,0,19.947,45.619,21189,27955,52244,24538,0.406,,4.134,0.742,95.125,94.436,53.895,16.74,83.26,4.626,58.535,32.104,0.771,7.159,0.742,4.02,1939,1020,41.204,16.733,241000,1702,82.237,2641,,,,,,,,,,,,,,96,,0.606
17031063302,Cook County,Chicago,60657,Lake View,16,4186,44.362,55.638,30.2,5.948,82.083,11.968,80.22,1.624,0,12.207,4.3,3040,90.789,9.211,2760,21.558,1.884,64.855,1.52,4.662,0,99.2,83.472,0,2.27,35.529,82.609,17.391,7.167,5.19,0.549,81.737,2.393,21.394,57.275,2.356,3.884,36.668,90.652,12.029,0.87,67800,89595,60134,55510,68017,46250,0.68,8.266,0,87.458,78.571,11.682,4.658,6.218,0,0,7.668,0,0,9.342,0,71500,91488,67628,63100,,,5.395,0.987,93.618,93.618,34.375,35.036,64.964,10.761,62.862,26.304,1.848,1.957,0,5.181,1953,1207,38.706,16.788,321300,2084,70.838,3996,,,,,,,,,,,,,,91,,3.225
17031063303,Cook County,Chicago,60657,Lake View,25.4,1157,46.24,53.76,59.7,2.939,52.723,44.339,89.542,2.334,0,3.371,4.322,1081,82.516,17.484,892,16.928,0,76.682,1.3,11.111,0,92.417,67.962,0,3.284,58.869,84.788,15.212,5.704,3.271,0,58.504,5.175,26.711,39.9,3.506,6.511,31.123,57.063,43.946,6.614,76500,96837,74809,70933,78125,51964,,1.038,0,80.277,59.17,41.609,3.201,0,0,0,4.671,0,0,3.612,6.238,119063,54219,78250,56250,,,4.07,0,95.93,77.243,7.586,47.87,52.13,9.641,52.915,37.108,0,3.027,0.37,1.345,1967,2000,48.817,37.419,344100,1859,66.042,1201,,,,,,,,,,,,,,70,,0.785
17031063400,Cook County,Chicago,60657,Lake View,12.6,2158,40.639,59.361,28.2,3.985,93.095,2.919,81.279,4.31,0,4.263,7.692,1281,95.472,4.528,1223,20.85,1.799,49.223,1.76,2.021,30.435,98.544,80.839,0,5.226,0,89.064,10.936,4.124,5.574,0,84.198,3.651,23.063,55.075,0.48,5.345,33.376,89.207,5.969,8.749,83458,100154,58992,49613,61434,44028,0.717,8.851,0,86.237,74.652,4.634,4.588,0,0,0,19.648,0,0,20.309,25.397,2500,53370,90037,64583,,,3.747,21.546,74.707,71.429,46.058,26.656,73.344,6.541,74.489,21.832,0,1.881,0,3.107,1945,1379,35.674,22.408,351100,2366,87.73,2180,5.01,93871,-11.093,3.986,-0.335,474933,-26.074,12.689,7.353,6.959,-7.353,1123,22.76,98,,0.736
17031070101,Cook County,Chicago,60614,Lincoln Park,18.5,3988,48.571,51.429,36,13.265,70.06,16.675,88.44,2.407,0,4.714,0.928,2978,88.717,11.283,2642,21.083,0,70.59,1.51,0.574,0,98.426,78.388,23.44,2.47,14.436,93.004,6.996,3.611,0.707,0,70.464,3.807,27.347,44.186,1.68,6.718,29.282,78.955,21.499,5.261,68180,110705,74163,56094,80862,42024,0.52,5.391,3.97,90.095,70.587,16.324,5.692,1.616,0,0,16.399,0,0,20.58,11.88,4514,90729,66667,,,,5.507,3.324,91.169,98.455,40.598,47.578,52.422,13.323,47.653,34.671,9.841,2.687,0,1.287,1949,1075,43.538,26.643,312700,1887,60.143,3796,,,,,,,,,,,,,,53,,0
17031070102,Cook County,Chicago,60614,Lincoln Park,17.4,2656,55.045,44.955,30,6.401,89.985,3.614,70.821,8.133,0,7.38,12.312,1962,88.328,11.672,1733,16.676,0.692,67.282,1.48,0.903,0,97.733,72.696,0,1.925,42.105,81.25,18.75,8.998,9.466,1.1,87.715,2.555,26.939,50.118,5.83,10.437,36.08,93.364,2.308,2.077,64507,85180,56699,50459,60015,43927,,8.839,0,86.495,75.645,3.642,2.466,0,0,0,10.319,0,0,10.628,23.684,43750,50326,80688,30119,0.542,0.373,4.383,4.434,91.182,87.513,32.926,31.391,68.609,1.847,49.625,46.451,0,1.731,3.466,6.405,1966,1035,36.081,16.989,240300,1728,78.493,2413,,,,,,,,,,,,,,95,,5.713
17031070103,Cook County,Chicago,60614,Lincoln Park,17,1679,47.409,52.591,28.2,7.504,87.433,5.063,83.085,4.527,0,5.063,7.326,1313,90.784,9.216,1192,14.513,0.755,71.477,1.41,3.129,0,100,93.885,0,1.771,0,92.079,7.921,6.373,7.79,0,87.122,9.534,32.516,45.752,3.186,10.376,33.493,87.919,4.446,0,51768,64617,46411,47036,62000,44647,,14.652,25.397,82.549,76.951,3.871,1.846,5.202,9.783,9.783,15.485,9,7.143,17.098,0,29091,50924,52500,53415,,,5.179,17.136,77.685,95.811,29.703,7.802,92.198,3.775,59.396,28.943,5.537,2.265,0,5.705,1966,1168,36.488,14.559,342200,2630,65.591,1709,,,,,,,,,,,,,,96,,0
17031070200,Cook County,Chicago,60614,Lincoln Park,11.2,3937,56.744,43.256,29.2,11.201,81.687,7.112,79.197,4.674,0,7.239,6.909,2154,90.715,9.285,1954,31.218,2.405,47.646,1.92,2.518,46.875,98.258,79.763,5.896,1.546,37.931,89.586,10.414,6.198,3.231,0.609,82.806,3.237,26.503,52.935,3.169,9.255,32.276,92.426,8.547,2.354,86168,147856,75555,60050,61731,49154,0.796,4.359,0,91.546,83.303,4.782,2.906,2.459,5.747,11.45,10.931,11.806,4.087,12.429,0,,70952,82458,99875,,,11.513,12.767,75.72,74.234,38.347,39.202,60.798,5.578,88.485,7.165,0,2.559,0,3.941,1965,1225,36.448,17.424,480800,2665,82.115,3900,3.066,79486,8.407,2.49,0.747,469747,2.353,10.328,0,0.603,4.087,1240,-1.234,97,,0.358
17031070300,Cook County,Chicago,60614,Lincoln Park,14.1,3383,57.198,42.802,28.1,9.784,87.142,3.074,80.106,1.655,0,9.163,4.138,1797,90.095,9.905,1619,29.401,3.027,39.284,2.08,4.808,0,100,90.009,0,1.832,36.538,93.497,6.503,3.754,2.664,0,83.192,4.442,29.653,52.614,0.251,9.745,27.615,93.515,4.818,0,99821,123255,61621,56861,64005,50833,0.794,4.907,0,92.196,82.442,3.429,1.655,3.361,0,0,19.198,0,0,21.331,20.192,,107813,107417,44050,,0.41,5.008,40.178,54.814,64.997,44.574,43.792,56.208,5.312,84.558,12.724,0,0.494,1.002,1.729,1961,1573,38.571,25.824,435300,2752,82.793,3367,6.416,102209,-2.336,4.146,0.296,524148,-16.951,14.574,2.66,4.624,-2.66,1535,2.48,95,0,1.297
17031070400,Cook County,Chicago,60614,Lincoln Park,24,3440,58.953,41.047,31.4,14.942,71.919,13.14,84.506,3.837,0,2.529,8.314,1669,97.064,2.936,1620,34.259,2.16,41.42,2.12,7.459,0,87.295,75.281,2.529,6.75,26.106,89.157,10.843,5.087,5.24,5.082,70.047,3.571,36.871,45.441,1.844,5.182,,74.444,19.63,16.42,84038,140315,68143,60345,63147,50500,0.8,5.843,3.502,81.512,73.052,14.273,5.785,1.441,0,0,13.227,0,0,12.894,30.088,8821,88162,111295,14081,0.079,0.127,15.219,33.313,51.468,73.217,43.978,39.198,60.802,8.395,86.605,10.247,0,1.975,0,5,1954,975,31.675,16.142,588800,3086,93.071,2984,2.402,121727,-30.962,5.738,-2.167,655792,-10.215,13.275,2.137,-0.048,-2.137,1123,-13.205,91,6.35,0
17031070500,Cook County,Chicago,60614,Lincoln Park,15.7,3022,47.287,52.713,33.2,13.005,70.715,16.281,85.97,3.607,1.125,1.754,7.611,1371,95.478,4.522,1309,41.176,3.132,40.947,2.11,5.463,0,92.57,73.261,2.545,1.667,60.595,95.202,4.798,2.349,8.511,2.347,69.406,3.492,39.989,34.146,1.191,1.929,33.015,79.603,18.258,0,104306,191302,84927,59513,65500,53947,,3.948,0.763,89.243,82.615,11.735,3.405,0,0,0,6.556,0,0,6.908,13.383,,42292,110147,38750,,0.352,25.748,34.063,40.19,48.724,35.959,52.636,47.364,6.494,75.859,19.404,0,1.375,1.823,1.375,1982,1500,49.516,30,596100,3237,80.552,2928,7.528,111993,-6.864,4.376,-0.884,652151,-8.595,4.531,0,2.025,0,1801,-16.707,82,,0
17031070600,Cook County,Chicago,60614,Lincoln Park,10.3,3083,48.978,51.022,31.3,21.765,75.284,2.952,84.625,1.265,0,2.076,11.028,1392,93.463,6.537,1301,48.655,2.306,33.59,2.37,5.461,0,98.853,90.922,2.683,0,19.78,92.637,7.363,3.114,3.161,0,85.83,4.186,54.266,33.115,0.505,1.161,33.603,96.003,4.996,0,150987,185166,79740,80036,91579,51447,0.562,1.784,1.49,96.562,91.177,2.595,0.551,1.106,0,0,3.763,0,1.49,4.567,0,,,152500,51439,,0.337,48.779,24.928,26.293,29.382,21.049,68.025,31.975,3.843,91.545,7.61,0,0,2.299,0.692,1991,1863,31.971,18.75,624700,3018,84.294,2981,12.917,145618,3.687,3.033,1.153,688565,-9.275,6.387,0,-2.624,1.49,2023,-7.894,84,0,0
17031070700,Cook County,Chicago,60614|60647,Lincoln Park,19.8,3983,48.933,51.067,30.2,23.826,72.835,3.339,72.307,0.427,0,9.44,16.596,2056,79.815,20.185,1641,47.288,3.108,33.394,2.42,7.453,0,94.296,77.532,0.843,2.62,31.579,89.179,10.821,5.599,9.674,5.674,85.794,3.833,60.665,20.114,1.338,4.785,34.057,87.325,10.299,7.13,120875,155834,66675,65866,81353,50389,0.619,5.348,0,87.296,80.643,4.946,6.628,5.67,3.484,5.484,12.503,13.537,8.535,12.306,45.113,,116384,154028,30882,,0.2,25.73,20.72,53.551,55.447,44.553,52.773,47.227,5.058,92.931,6.155,0,0,5.302,2.803,1956,1341,24.516,9.548,431100,2676,91.109,3481,28.64,92170,31.144,3.393,0.44,504727,-14.587,21.068,36.842,-8.565,-28.307,1056,26.986,82,,0.488
17031071000,Cook County,Chicago,60614,Lincoln Park,20,4277,49.708,50.292,21.2,8.628,87.959,3.414,76.058,3.32,0.07,7.833,9.773,1139,90.606,9.394,1032,32.946,6.105,37.112,2.38,3.806,30.435,99.115,83.818,0,6.38,35.616,92.425,7.575,4.933,7.028,1.289,62.765,8.216,27.514,34.781,0.823,22.212,21.073,94.767,6.783,0.775,99306,153877,40096,7961,11755,5728,,6.874,1.355,90.788,68.997,3.834,2.619,1.176,2.247,3.252,22.495,3.03,1.42,27.529,4.795,,98750,101184,,,,21.159,34.504,40.737,88.06,68.306,44.767,55.233,10.659,83.333,14.729,0,0,5.443,0.775,1939,1567,27.018,23.86,525400,2579,73.81,4442,6.907,134607,-26.225,12.186,-3.97,708979,-25.893,10.492,0,12.003,1.42,2071,-24.344,96,0,0.872
17031071100,Cook County,Chicago,60614,Lincoln Park,13.6,2932,41.644,58.356,25.9,10.3,81.924,7.776,86.426,3.308,0.136,3.377,3.411,1157,91.098,8.902,1054,40.133,4.175,29.317,2.37,0.774,0,99.88,90.604,0,1.457,36.842,91.951,8.049,4.57,4.373,0.394,77.037,3.935,24.191,44.222,2.773,12.635,31.902,92.125,13.093,0,108659,151414,57343,38969,60284,32756,0.543,4.332,0,92.872,75.205,7.844,0.784,0,0,0,14.051,0,0,17.835,0,,72031,110417,78750,,,34.14,38.375,27.485,87.64,77.269,48.767,51.233,14.516,82.732,14.421,0,0,1.21,2.751,1939,1703,43.519,22.778,814300,2915,63.035,2944,-16.719,73565,47.705,12.793,-8.858,776401,4.881,14.765,8.116,-0.714,-8.116,1483,14.83,95,0,0
17031071200,Cook County,Chicago,60614,Lincoln Park,22,2016,45.585,54.415,29.4,14.881,72.421,12.698,73.016,3.621,0,10.913,10.714,1024,100,0,1024,30.176,3.418,48.73,1.96,1.094,0,95.807,78.181,3,3.907,22.266,90.179,9.821,1.786,3.725,3.246,72.722,3.569,41.702,36.816,1.432,7.919,29.878,82.324,18.75,9.668,89583,119172,61915,58698,71925,47528,,5.757,0,87.543,71.712,12.705,7.395,8.738,12,10.811,17.419,6.569,8.333,17.546,27.344,8664,56875,105625,65227,0.082,,17.578,26.465,55.957,81.25,40.039,43.945,56.055,8.496,76.27,16.797,0,1.66,1.953,4.297,1956,1641,37.979,19.512,377400,2106,87.778,1906,-12.287,87450,2.439,1.767,1.802,493803,-23.573,10.892,0,6.527,8.333,1447,13.435,97,,0.781
17031071300,Cook County,Chicago,60614,Lincoln Park,13.7,3414,48.623,51.377,31.8,17.955,72.583,9.461,85.354,3.193,0,6.883,3.31,1954,95.599,4.401,1868,32.12,0.482,56.799,1.82,2.686,0,99.273,92.999,1.316,2.464,20.433,92.326,7.674,5.565,3.351,0,80.642,6.012,31.661,43.994,4.556,6.351,28.412,91.702,8.512,0,90367,144139,80119,55457,73448,51563,,4.403,0,93.484,76.02,8.483,1.732,1.167,0,0,6.877,0,0,9.208,1.548,49016,107639,90550,,0.541,,28.352,9.314,62.334,83.726,43.859,43.041,56.959,13.812,76.285,21.734,0,0.482,0,2.088,1951,1164,41.541,20.113,617000,2509,69.03,3513,-6.42,101635,-11.087,3.557,2.455,577998,6.748,11.383,0,-4.506,0,1255,-7.225,95,0,0.375
