CommunityArea,Region,Population,Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),Disabled (%),Foreign-Born (%),Limited English Proficiency (%),Unemployment (%),Median HH Income ($),Per Capita Income ($),Private Medical Insurance (%),Public Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%),Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Car Ownership (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Median House Value ($),Income Spent on Housing (%),Age <5 (%),Age 65+ (%),Age <18 (%),Male (%),Female (%),Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Households Receiving SNAP Benefits (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),Not US Citizen (%),Children Living in Poverty (%),Households in Poverty (%),Hardship Index 2012,Educational Opportunity (COI),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),"Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",2000 Socioeconomic Change Index,2010 Socioeconomic Change Index,"Socioeconomic Change Index, Difference 2000-2010","Total Population Change, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014",Food Insecure (%),RT_CT_15_19YO_PerThou,"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)","Child Opportunity Index, 2014",Overweight or Obese CPS students (%),Obesity Prevalence Estimate (%),Children Uninsured (%),Stroke Mortality,CHD Mortality,HeartDis Mortality,Cancer Mortality,LungCancer Mortality,BreastCancer Mortality,CervicalCancer Mortality,ColorectalCancer Mortality,ProstateCancer Mortality,Diabetes_relt Mortality,alzheimers Mortality,HIV Mortality,Accidents Mortality,Homicides Mortality,Firearm_relt Mortality,MotorVehicle Mortality,suicides Mortality,drug_ind Mortality,Alchohol_ind Mortality,Infant Mortality,Asthma Mortality,COPD Mortality,Diet-Related Mortality,"Annual Years of Potential Life Lost (per 100,000 residents)","Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Children with Elevated Lead Blood Levels, 2014 (%)","Vaccine-Preventable Diseases Reported, 2000-2014",Onsite Release of Hazardous Air Pollutants (lbs),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Change in Median Home Value, 2006-2012 (%)"
Jefferson Park ,1,26771,28.14,14.30,22.05,13.71,29.95,19.19,13.44,86.56,29.30,9.61,28.48,19.56,12.40,59304,27210,68.55,16.29,16.29,16.64,52.33,9.21,65.72,34.28,7.43,46.00,20.89,11.67,14.52,0.12,2.21,0.96,293467,29.65,6.53,13.84,21.68,38.33,39.99,19.96,67.52,1.38,9.41,5.44,2.15,0.38,82.89,14.14,12.81,8.80,8.60,25,0.113,56.15,,20.04,4.43,10.21,7,7,0,57,239,18.86,1.61,0,9.76,,1.3,1.5,0.221,37.6,19.9,0.59,39.9,136,197.1,198.6,49.1,22.5,1.3,20.7,34.4,48,17.1,0,26.8,6.7,6.7,3.5,12.8,10.4,4.7,7.6,1,25.3,313.4,6934,16.4,6.7,78.7,1.75,10,8018,0.04,2.53,-45.3
Forest Glen ,1,18542,31.94,7.93,11.43,11.28,34.14,18.48,4.90,95.10,56.44,10.23,18.28,9.61,6.80,90329,43158,83.18,5.33,5.33,6.09,22.14,4.78,87.80,12.20,5.33,38.97,24.04,13.66,7.01,0.00,0.46,0.32,428625,25.72,6.43,16.57,23.93,37.34,38.73,12.99,72.02,1.62,12.13,4.05,3.65,0.58,81.48,13.98,3.18,8.14,7.51,11,0.642,20.46,,1.99,0.00,3.09,11,9,-2,-9,-101,10.00,0.43,0,7.33,,0.7,0.4,0.595,29.9,13.2,0.11,27.3,93.7,142.3,144.4,25.9,18.2,1.6,16.8,18.3,31.7,11.3,0.9,22.7,0.7,0.7,4.3,4.3,3.4,0.7,2.5,0.9,21.2,230,3783,8.3,6.1,81.1,1.87,10,0,0.05,3.4,-21.8
North Park ,1,18739,29.09,13.57,18.54,13.25,32.10,25.43,14.37,85.63,42.21,10.82,38.81,23.06,9.92,56659,28700,64.55,15.21,15.21,18.91,39.73,7.66,52.91,47.09,8.11,48.66,23.91,11.09,17.76,0.33,3.33,1.26,329075,32.54,6.02,16.33,22.69,37.04,40.27,18.29,49.94,1.68,27.63,10.72,6.13,0.68,77.12,14.16,14.62,13.36,13.21,33,0.524,68.94,7.84,14.43,4.12,21.90,11,11,0,-425,124,23.20,2.01,1,10.85,,1,1.4,0.506,41.5,19.4,0.26,22.6,104.7,148.3,143.3,43.3,23.8,0.8,21.7,7.7,55.8,4.5,1.2,13.9,2.1,2.1,3.6,2.9,3.3,2.2,8,2.1,18,244,4673,9,9,72.2,3.61,10,309,0.00,0.5,-40.7
Albany Park ,1,53897,33.56,17.29,29.95,5.19,38.31,34.28,32.87,67.13,26.48,8.91,46.10,40.16,10.05,47436,21058,42.96,31.49,31.49,41.83,59.29,7.74,36.53,63.47,13.73,62.20,13.60,6.17,24.28,0.51,2.45,3.86,266109,38.07,8.41,7.24,24.78,39.59,35.63,52.43,29.40,4.04,12.54,16.66,4.76,0.77,59.93,33.82,29.56,29.18,19.19,53,-0.108,91.65,34.38,16.02,3.25,15.17,-1,-3,-2,-1623,898,14.71,4.00,6,11.73,27.42,1.5,2.6,0.119,42,24.5,0.53,36.1,120.4,171.4,170.5,44.9,16.5,5.8,22.7,17.4,70,10.4,5.1,21.7,4.2,4.2,6.4,6.2,5.2,8.1,2.6,2.5,30.9,291.5,4928,45.4,9.3,67.7,2.91,32,0,0.11,0.93,-43.5
Portage Park ,4,63619,28.21,24.76,29.38,9.18,33.39,38.26,19.31,80.69,22.68,10.32,32.22,24.99,12.64,54754,24372,58.61,18.29,18.29,21.68,47.93,9.39,56.32,43.68,8.50,49.35,20.33,8.48,14.19,0.10,1.69,1.57,278514,33.96,6.01,11.03,23.00,36.15,40.84,41.48,50.97,1.27,4.33,12.14,2.57,1.06,78.52,17.16,14.98,22.70,11.63,35,-0.018,87.18,24.82,13.44,3.41,12.49,7,5,-2,-2182,294,18.96,2.57,5,11.81,11.29,1.5,2,0.148,44.5,26,0.45,34.2,156.5,219.1,156.1,42.1,17.9,1.8,14.7,16.5,46.3,11.2,1.1,25.6,4.5,4.5,6.6,9.4,11,9,3.2,1.8,26.3,321.8,6521,34.4,8.4,76.4,1.87,27,0,0.19,1.61,-49.2
Irving Park ,4,56513,29.84,20.46,28.17,5.74,33.10,26.39,22.39,77.61,32.56,10.44,31.87,25.28,10.01,54517,28790,56.05,23.78,23.78,25.85,62.10,10.42,48.37,51.63,10.99,57.03,16.77,7.05,17.51,0.25,2.00,2.73,320133,34.74,8.11,8.51,23.13,39.33,37.55,45.03,42.87,2.95,7.09,10.85,3.68,1.67,70.41,23.19,18.62,19.33,13.07,34,-0.042,85.57,26.01,16.82,3.43,11.68,5,7,2,-1461,1895,20.20,3.80,6,11.21,5.53,1.4,2.2,0.109,42.9,25.4,0.87,35.1,136.4,198.6,169,39.7,20.8,4.8,20.6,16.8,63.1,16.1,4.9,24.4,5.2,5.2,5.1,7.4,7.4,7.9,5.2,2.8,30.8,310.3,5984,43,7.7,74.2,2.00,28,0,0.09,1.49,-33.3
Dunning ,4,42115,24.93,14.73,22.23,11.06,29.23,38.04,16.15,83.85,23.97,10.25,35.61,24.96,10.03,59787,26097,63.38,20.33,20.33,24.27,48.69,6.22,75.79,24.21,6.00,44.97,24.54,11.27,8.98,0.44,1.64,3.27,258445,27.09,5.08,15.11,18.51,39.34,42.15,23.05,71.17,1.01,3.96,5.56,2.07,0.20,87.62,8.96,15.68,13.55,10.63,28,-0.041,64.53,23.40,6.31,1.91,7.86,7,7,0,223,741,11.66,1.79,1,9.86,,1.5,0.8,0.169,39.9,20.2,1.22,33.6,137.5,195.3,182,45.2,21.9,2.3,22,23.3,46.6,12,1.3,30.8,4.3,4.3,8.3,7.7,12.2,9,4.1,2,22.2,304,6189,20.6,5.6,76.9,0.86,17,0,0.12,1.78,-50.4
Montclare ,4,12401,29.51,22.97,28.87,12.61,34.62,33.69,23.53,76.47,18.19,13.18,35.30,28.07,13.79,42785,22030,51.43,22.10,22.10,25.39,47.95,8.73,59.44,40.56,7.50,56.47,15.46,9.49,17.02,0.11,2.46,4.47,236850,40.23,7.48,14.24,24.32,35.75,39.93,51.67,38.55,4.23,4.45,13.63,0.95,0.27,83.21,12.61,19.67,14.86,15.30,50,-0.300,89.92,,2.70,0.90,9.60,5,-1,-6,428,27,13.93,2.31,1,11.00,,2.5,1,-0.039,51.3,29.1,0.48,39.5,161,216,162,35,33.8,1.6,18.5,27.6,86,7.8,0,28.9,10.2,10.2,6,8,16.2,7.2,3.6,5,31,360.9,6449,25.9,6.6,78.6,4.23,4,0,0.33,1.13,-55.2
Belmont Cragin ,4,77885,43.42,28.66,41.67,6.41,50.49,40.79,37.34,62.66,10.66,10.59,38.70,40.11,14.64,42758,15616,41.27,27.02,27.02,35.12,57.29,10.68,48.56,51.44,8.13,57.36,20.67,6.64,15.04,0.00,1.82,2.36,235159,46.12,8.31,7.46,29.81,35.28,34.91,77.00,15.28,4.91,1.27,18.38,2.73,0.46,81.33,14.62,25.70,28.92,18.66,70,-0.437,95.19,23.83,13.29,1.70,16.70,1,-5,-6,946,405,18.66,5.05,28,12.94,63.91,2.4,2,-0.172,47.9,27.8,0.43,31.7,158.5,220.6,154.5,43.8,15.1,2,17.5,25.4,62.6,10.3,1.4,24.4,5.4,5.4,7.3,5.3,8.9,7.5,6.5,3.4,23.4,328.4,5783,53.9,8.5,67,2.76,54,4,0.09,0.83,-60.6
Hermosa ,4,25068,39.35,28.54,38.75,5.87,47.54,37.31,41.62,58.38,7.31,12.61,35.44,39.53,13.13,41398,14956,39.12,26.38,26.38,35.96,58.25,10.75,43.99,56.01,9.82,53.64,21.94,9.86,18.12,0.42,1.87,0.61,271033,51.99,8.02,7.44,29.00,34.67,36.33,90.20,7.87,0.78,0.44,22.16,3.25,0.87,75.67,19.44,23.45,28.33,20.48,71,-0.533,96.78,23.89,26.13,5.67,22.04,-3,-3,0,-325,-40,21.55,5.48,19,12.29,19.81,2.2,2.5,-0.165,47.6,27.8,0.37,35.4,124.8,190.8,130.9,24.4,23.1,0.9,15.3,12.9,67.7,6.1,3.5,23.5,10.6,10.6,5.5,1.5,10.5,7,8.4,1.4,24.1,295,6283,58.3,9.2,64.1,4.76,19,0,0.04,1.62,-64.6
