CommunityArea,Region,Population,Families with Children (%),Single-Mother Headed Households (%),Single Parent Headed Households (%),Seniors Living Alone (%),Households with Youth (%),Grandparents Raising Grandchildren (%),Less than HS Grad (%),HS Grad or Higher (%),College Educated (%),Disabled (%),Foreign-Born (%),Limited English Proficiency (%),Unemployment (%),Median HH Income ($),Per Capita Income ($),Private Medical Insurance (%),Public Medical Insurance (%),Uninsured (%),Uninsured Among Employed (%),Uninsured Among Unemployed (%),Vacant Residence (%),Owner-Occupied Residence (%),Renter-Occupied Residence (%),Moved to Residence Since 2010 (%),Moved to Residence 2000-2009 (%),Moved to Residence 1990-1999 (%),Moved to Residence 1980-1989 (%),No Car Ownership (%),No Heat (%),No Landline Phone (%),Live in Crowded Housing (%),Median House Value ($),Income Spent on Housing (%),Age <5 (%),Age 65+ (%),Age <18 (%),Male (%),Female (%),Latino (%),"White, Non-Hispanic (%)","Black, Non-Hispanic (%)","Asian, Non-Hispanic (%)",Households Receiving SNAP Benefits (%),Walk to Work (%),Bike to Work (%),Drive Car to Work (%),Public Transportation to Work (%),Not US Citizen (%),Children Living in Poverty (%),Households in Poverty (%),Hardship Index 2012,Educational Opportunity (COI),"Low Income Student Enrollment, Chicago Public Schools (%)",5-Year Dropout Rate (%),"Juvenile Arrest Rate (per 1,000)","Juvenile Marijuana Arrest Rate (per 1,000)","Juvenile Victim of Crime Rate (per 1,000)",2000 Socioeconomic Change Index,2010 Socioeconomic Change Index,"Socioeconomic Change Index, Difference 2000-2010","Total Population Change, 2000 - 2012","Change in 25-34 Year Olds with College Degree 2000, to 2012","Property Crime Rate, 2014 (per 1,000)","Violent Crime Rate, 2014 (per 1,000)","Shooting Incidents, 2014",Food Insecure (%),RT_CT_15_19YO_PerThou,"Foreclosure Rate, 2013 (% Parcels)","24-month Vacancy Rate, 2013 (%)","Child Opportunity Index, 2014",Overweight or Obese CPS students (%),Obesity Prevalence Estimate (%),Children Uninsured (%),Stroke Mortality,CHD Mortality,HeartDis Mortality,Cancer Mortality,LungCancer Mortality,BreastCancer Mortality,CervicalCancer Mortality,ColorectalCancer Mortality,ProstateCancer Mortality,Diabetes_relt Mortality,alzheimers Mortality,HIV Mortality,Accidents Mortality,Homicides Mortality,Firearm_relt Mortality,MotorVehicle Mortality,suicides Mortality,drug_ind Mortality,Alchohol_ind Mortality,Infant Mortality,Asthma Mortality,COPD Mortality,Diet-Related Mortality,"Annual Years of Potential Life Lost (per 100,000 residents)","Teen Birth Rate (per 1,000)",Preterm Births (%),Mothers Receiving Prenatal Care During First Trimester (%),"Children with Elevated Lead Blood Levels, 2014 (%)","Vaccine-Preventable Diseases Reported, 2000-2014",Onsite Release of Hazardous Air Pollutants (lbs),"Performing Arts and Amusement Licenses, 2013 (per 1,000 residents)","Block Parties, 2012 (per 1,000 Residents)","Change in Median Home Value, 2006-2012 (%)"
Avondale ,2,41542,31.46,26.37,32.22,6.04,36.09,22.75,24.67,75.33,21.25,7.43,39.83,37.62,9.22,46405,19833,44.16,32.89,32.89,38.17,58.83,9.69,41.84,58.16,14.85,52.16,19.50,7.53,17.64,0.64,2.67,1.30,301510,38.66,8.11,7.78,23.22,39.66,37.13,65.42,26.50,2.67,3.10,12.20,3.66,1.61,68.53,24.94,27.46,23.72,15.28,42,-0.340,95.47,25.05,6.38,1.44,12.87,-3,-3,0,-306,1528,23.61,4.28,6,10.49,12.31,1.4,3.1,-0.065,47.5,27.4,1.56,35.1,143.1,215.8,152.2,37.1,14.8,0.5,17.1,34.4,47.6,18.4,1.1,27.4,4.6,4.6,9.3,7.1,7.9,11.7,4.7,1.4,24.8,329.6,5634,66.1,9.6,68.6,3.64,32,255,0.10,0.45,-34.2
Logan Square ,2,73786,23.71,27.50,36.71,4.32,26.97,24.78,14.85,85.15,44.27,6.18,21.41,22.37,8.18,57568,32208,56.02,23.82,23.82,23.92,56.90,9.99,37.77,62.23,15.67,61.60,11.99,6.03,22.21,0.27,2.74,1.42,374052,34.90,7.09,6.43,19.73,41.06,39.21,47.62,41.56,6.38,2.79,9.67,4.20,3.36,58.59,32.58,14.24,32.36,16.79,23,-0.058,89.12,0.00,13.94,2.02,17.13,-5,7,12,-1000,5402,30.41,4.70,20,12.00,17.75,1,2.5,0.089,45.6,27.4,1.94,33.6,149,212.8,133.9,30.5,11.9,2.5,13.6,9.7,77,14.8,9,25.3,7.1,7.1,4.6,6.2,10,6.9,4.1,4.4,29.3,324.1,4989,48,8.3,74.4,3.01,39,2127,0.34,1.12,-26.5
Humboldt Park ,9,54351,33.77,50.48,62.97,6.31,42.82,45.23,35.42,64.58,10.78,16.08,17.75,18.79,17.27,34338,14665,32.74,23.86,23.86,30.27,54.30,18.08,35.22,64.78,11.47,53.07,16.43,10.58,30.05,0.51,2.94,10.28,208987,49.09,8.95,7.82,30.16,32.22,37.62,51.19,5.54,41.73,0.27,35.66,4.00,2.20,65.09,24.57,11.77,48.41,33.95,85,-0.103,93.82,19.90,55.08,20.53,34.49,-11,-11,0,-4830,891,30.29,14.61,87,21.34,155.28,2.8,4.6,-0.316,46.6,27.7,0.71,56.1,161.2,250.1,194.9,50,19.5,2.4,20.6,38.3,111.1,13.9,9.2,48,27.2,27.2,7.3,4.1,27.6,7.7,10.5,14.9,27.6,426.2,11609,72.2,9.6,61.7,6.70,39,29,0.04,2.07,-78.2
West Town ,9,84087,18.11,26.68,34.54,5.15,19.85,16.42,12.93,87.07,59.64,7.26,16.07,13.91,6.56,70479,43639,67.89,16.68,16.68,16.39,43.89,9.76,39.98,60.02,17.44,63.56,9.39,4.66,22.73,0.27,2.11,1.02,400232,29.39,6.22,6.14,15.54,42.77,41.69,28.63,57.09,8.45,3.94,9.99,7.08,4.21,52.88,33.86,9.23,27.13,14.70,10,0.200,79.85,27.59,19.37,2.94,22.31,3,11,8,1451,9668,44.64,6.19,21,11.05,12.43,0.8,2.3,0.396,44.4,24.1,0.80,35,151.8,211.5,145.9,28.5,21.3,0.7,16.3,17,109.7,16.8,3.5,27.8,6.5,6.5,5.8,8.2,10.9,10.3,4.5,6.2,23,359.3,4999,50.6,8,79.9,2.21,32,711,0.47,0.54,-28.5
Austin ,9,98162,29.74,60.19,70.47,7.83,39.32,51.76,24.43,75.57,11.08,15.86,4.02,3.37,22.64,32461,15160,36.90,23.02,23.02,25.03,56.67,16.00,39.53,60.47,12.14,47.38,15.01,11.21,31.61,0.40,2.28,3.35,196592,47.86,6.68,10.99,26.91,32.24,40.84,8.92,4.55,85.41,0.36,33.66,2.09,0.35,68.06,27.84,2.45,40.73,28.63,73,-0.293,95.54,28.49,64.73,23.21,41.04,-9,-11,-2,-6956,44,37.50,16.99,122,34.57,287.34,2.6,3.1,-0.414,42.2,24.5,0.68,56.2,157.8,277.1,255.7,69.3,31.7,3.6,30.1,70.4,107.4,18.8,14.8,43,34.8,34.8,10.7,4.6,21,6.3,12.2,11.5,31.1,439.4,14121,74.8,11.2,62.9,8.82,40,2155,0.04,2.21,-69.8
West Garfield Park ,9,19377,37.33,76.65,87.48,9.08,49.63,50.87,24.51,75.49,7.04,16.00,0.25,0.13,25.78,24957,10757,29.27,19.70,19.70,21.15,56.04,28.74,26.01,73.99,14.88,50.88,10.12,6.79,43.31,0.40,2.77,4.87,194650,49.28,9.02,8.63,35.00,29.84,35.16,1.24,1.41,96.84,0.09,42.74,2.35,0.21,55.20,36.75,0.09,53.81,41.67,92,-0.406,97.82,,91.12,50.58,49.87,-9,-9,0,-2047,22,48.16,30.72,43,44.66,72.48,3,4.8,-0.748,37.8,21.7,0.87,63,183.7,319.8,267.3,71.1,51.1,4.9,16.6,80.5,110.5,14.3,17.2,72.9,47.8,47.8,10.7,6.1,40.4,7.9,17.2,20.7,34.3,495.7,17868,107.4,16.4,64,9.29,9,0,0.05,2.79,
East Garfield Park ,9,21316,36.89,70.09,79.36,9.99,45.87,35.81,21.29,78.71,14.37,14.64,2.12,0.83,19.60,26442,12927,30.52,17.53,17.53,21.94,45.60,23.16,26.93,73.07,14.65,54.81,15.44,5.39,37.69,0.35,1.80,2.89,204225,48.94,9.04,8.30,34.92,26.50,38.59,1.73,3.11,94.03,0.43,47.07,5.88,0.40,60.03,31.60,1.09,54.88,42.39,83,0.061,90.60,42.64,103.91,37.13,66.94,-10,-9,1,-139,240,50.27,26.06,38,34.22,552.13,2.5,5.5,-0.290,42.4,22,0.48,45.6,166.4,285.4,238.7,57.9,23.1,5.4,27.6,75,112.8,13.6,17.8,47.5,35.2,35.2,14.2,2.8,30,6.1,13.3,17,36.3,446.1,15153,84.7,15.1,65.2,7.85,14,0,0.00,1.74,-88.1
Near West Side ,9,54151,16.36,38.60,46.96,7.63,18.07,16.88,9.56,90.44,61.44,9.25,15.45,6.36,10.67,54217,36166,72.47,10.59,10.59,7.70,39.98,11.68,39.94,60.06,18.41,67.27,9.89,2.12,28.29,0.35,3.79,1.94,323965,31.61,5.36,6.58,15.61,41.90,42.49,8.85,41.86,31.98,14.73,11.19,20.92,2.46,47.72,27.00,9.62,36.41,20.64,15,0.662,70.82,20.54,44.97,5.01,47.54,-3,11,14,8453,6752,61.59,9.60,26,18.95,280.15,0.9,1.2,0.483,38.8,21,1.16,42.3,129.8,217.1,188.7,51.5,24.4,3.4,19.1,25.8,66.1,8.9,9.2,31.2,11.2,11.2,5.6,7.7,19,4,6.9,5.1,20.2,339.2,6136,45.4,8.8,77.3,1.98,27,796,0.68,0.42,-12.6
North Lawndale ,9,36074,36.34,70.94,79.72,8.52,47.71,43.08,27.58,72.42,9.89,14.90,2.51,2.56,21.24,25492,11937,28.55,20.69,20.69,25.61,47.15,27.97,24.07,75.93,13.34,55.79,12.21,6.82,45.44,0.34,3.15,2.39,186660,50.47,8.49,8.44,34.26,27.33,38.41,4.99,2.21,91.90,0.20,48.06,3.26,0.68,55.64,36.65,1.64,57.35,43.07,87,-0.281,95.49,19.36,89.60,26.53,50.49,-9,-9,0,-1925,347,46.11,25.98,52,36.01,327.49,2.8,5.3,-0.519,41.9,23,1.01,62.3,129.1,254.7,263.3,72.1,39.5,2.4,36,42.8,85.5,15.4,14.5,44.3,39.6,39.6,10.2,3.7,21.3,8,14.2,8.7,31.9,436.7,14741,88.7,13.6,67.7,7.76,21,79465,0.06,2.2,-83.1
South Lawndale ,9,70557,47.06,28.68,39.45,5.11,52.36,24.05,54.85,45.15,5.82,8.51,43.84,43.97,15.79,32855,11024,24.40,36.31,36.31,54.15,69.95,20.69,35.95,64.05,14.12,50.91,16.77,9.94,21.17,0.13,5.85,2.95,175089,42.88,8.94,5.61,28.20,42.37,29.42,84.14,4.34,11.13,0.16,29.76,6.87,1.01,74.80,16.16,34.39,44.44,30.68,96,-0.524,97.72,27.86,21.34,3.22,18.25,-7,-7,0,-10091,194,16.37,5.65,33,14.53,408.91,1.9,2.1,-0.567,49.9,32,0.42,30.5,101.9,147.8,123.7,19.6,9.3,2.4,9.7,22.1,59.8,6.7,3.4,22.1,12.3,12.3,3.9,3.9,5.1,7.9,6.7,4.4,12.7,248.2,5438,69.3,10.7,72.7,6.49,52,84556,0.13,2.2,-81.1
Lower West Side ,9,36577,30.53,30.34,45.58,5.91,36.41,29.03,40.70,59.30,17.79,7.78,42.31,40.35,15.82,37372,18366,35.26,33.14,33.14,43.48,69.52,14.44,26.81,73.19,15.50,56.16,15.54,4.94,29.83,0.20,3.47,2.22,261709,38.07,8.04,7.36,25.20,41.01,33.79,82.16,12.47,3.21,1.00,23.08,8.28,3.72,58.55,28.79,30.72,38.44,25.79,76,-0.187,96.50,27.32,21.59,5.47,18.39,-7,-5,2,-2264,1277,27.15,5.09,39,14.86,159.53,1.5,3.1,0.024,51.8,31.7,0.46,36.3,101.7,160.2,142.3,26,21.5,0.7,14.1,13.8,62,5.1,3.9,30.6,11,11,5.2,5.6,12.4,7.3,5.9,1.2,20.1,289.7,6082,59.4,7.7,75,3.90,28,3330,0.14,3.5,-53.2
Loop ,3,26363,7.10,16.54,16.54,5.91,7.34,0.00,3.11,96.89,78.84,5.30,19.66,6.51,5.68,78568,57897,88.63,6.91,6.91,5.69,18.74,17.21,42.98,57.02,21.58,65.79,8.70,2.52,43.04,0.90,3.33,1.31,377920,27.97,3.99,7.69,5.80,47.13,47.07,5.51,63.41,11.91,16.55,2.52,42.94,1.24,30.10,21.78,12.19,4.05,14.73,3,1.069,68.05,7.70,196.81,6.65,78.46,13,11,-2,5994,2709,131.71,8.78,0,6.48,15.18,0.4,1.6,0.839,29.7,16,2.87,25.8,83.5,134,133.1,28.4,16.1,0,13.1,19.3,27.8,11.1,1.3,14.2,1.1,1.1,3,9.1,9.2,1.3,4.9,1.9,24,194.6,3489,0.6,7.7,76.3,2.42,3,0,2.24,0.04,
Near South Side ,3,20245,14.79,22.55,31.47,10.06,15.52,6.28,7.42,92.58,67.21,8.75,19.46,6.50,4.93,59416,54736,81.85,7.16,7.16,6.72,36.39,15.58,49.59,50.41,18.84,72.28,6.54,0.85,23.33,0.51,1.75,0.36,358633,37.27,6.51,9.18,12.64,40.24,47.12,6.22,45.16,27.59,18.24,7.68,7.68,3.12,54.74,32.08,10.96,15.55,13.81,7,0.921,63.98,14.94,17.34,1.08,22.76,0,13,13,9357,3224,34.88,3.93,2,11.12,,0.6,1.8,0.810,32.2,20.7,0.30,43.7,107.9,186.1,138.7,37.2,30.5,0,14.9,33.6,60.1,19.1,3,17.4,4.4,4.4,6.7,5.9,8.8,2.5,3.9,5.5,28.6,320.2,5973,50.9,9.4,79.5,0.25,4,0,0.67,0.05,
Armour Square ,7,13710,22.75,29.29,33.88,19.33,25.71,38.23,34.54,65.46,20.95,11.40,53.01,47.15,16.75,21324,15039,36.73,31.29,31.29,41.24,70.58,6.62,35.16,64.84,11.12,57.36,15.19,8.47,41.56,0.07,1.72,1.25,211020,32.79,3.96,21.09,17.21,39.20,43.59,4.70,11.21,12.25,67.81,24.43,11.89,0.43,56.84,29.61,27.19,37.00,40.06,82,0.362,89.74,,49.59,3.45,28.46,-3,-1,2,1994,105,38.16,8.59,1,20.00,,0.5,0.8,0.205,30.6,14.8,1.81,38.2,73.3,122.7,169.5,53.2,14.9,3.4,27.1,10.7,35.6,5,1.1,17.6,4.7,4.7,6.9,2.2,3.7,0,1.8,3.3,35,255.6,4648,13.2,10.7,80,1.09,1,0,0.14,0.84,
Douglas ,7,19111,18.42,63.60,73.77,16.65,20.25,13.72,14.27,85.73,38.91,14.07,16.71,8.25,18.16,30547,22489,60.08,14.42,14.42,13.96,46.07,16.19,20.78,79.22,17.05,56.94,15.54,5.09,36.54,1.50,3.35,0.50,227510,37.27,5.21,14.69,15.96,36.53,47.51,2.98,11.88,71.68,12.29,23.14,14.34,0.32,55.88,28.90,13.79,42.62,29.59,47,-0.351,90.90,26.47,116.99,6.80,102.68,-6,-1,5,-3670,230,40.08,13.82,10,32.33,53.67,1.7,1.1,0.014,40.8,24.2,0.84,63.3,190.2,289,226.3,66.2,30.8,0.9,21.8,69.8,90.1,27.8,27.4,34.2,18.1,18.1,9.2,4.4,18.4,5.8,8.3,6.6,24.4,485.7,11164,36.5,11.2,73.5,1.15,12,0,0.16,0.32,-61.2
Oakland ,7,6260,35.95,69.88,72.21,12.32,41.45,14.00,18.38,81.62,24.60,16.90,5.35,3.69,28.70,21097,16369,42.00,16.18,16.18,13.14,53.69,10.85,22.31,77.69,12.18,69.96,9.19,5.36,42.76,0.47,4.45,0.00,235067,42.98,8.12,10.81,29.63,24.19,46.18,3.66,2.88,92.16,0.91,37.88,2.45,0.36,54.19,41.97,3.51,42.94,39.74,78,-0.643,73.72,,67.07,6.54,26.72,-7,-9,-2,332,37,29.40,10.31,8,40.03,29.21,2.3,1.6,-0.241,36.9,25.6,0.39,35.9,121,222.9,211.3,51.8,26.9,3.6,9,56.8,97,21.1,18.2,28.3,13.4,13.4,6.4,3.2,17.4,0,11.8,3.7,49.6,387.4,10054,47.2,0,73.5,1.79,3,0,0.00,0,
Fuller Park ,7,2924,28.18,60.68,73.37,23.56,34.64,30.34,26.64,73.36,12.06,24.25,5.44,4.20,33.88,15930,10409,31.70,20.38,20.38,25.66,44.62,26.63,32.98,67.02,10.30,53.32,14.31,10.21,52.62,1.05,6.98,0.00,115050,49.48,7.08,16.11,28.76,32.83,38.41,5.40,2.26,91.59,0.38,48.08,8.02,0.00,50.15,38.58,4.96,41.20,51.22,97,0.002,97.42,0.00,137.83,8.44,81.58,-11,-11,0,-308,-33,84.14,34.08,12,56.40,8.75,2.9,8.4,-0.848,42.7,27.7,2.15,92.3,249.8,400.7,256.1,56.7,26.1,5.1,41.8,28,103.8,11.9,9.8,53.6,52.3,52.3,18.3,6.3,13.8,5.1,17.8,25.1,44.3,607.2,18526,54.3,13,67.4,14.95,0,0,0.00,1.08,
Grand Boulevard ,7,23151,26.78,65.29,75.58,18.30,31.66,26.47,15.92,84.08,26.41,16.55,2.59,1.61,24.26,28758,19530,45.78,17.74,17.74,17.17,55.93,19.25,28.01,71.99,11.88,66.96,12.32,3.55,40.67,0.46,3.85,1.02,182140,41.16,8.39,12.57,26.91,30.27,42.82,3.01,4.08,91.10,0.32,32.45,3.20,0.14,61.70,33.93,1.36,40.41,29.29,57,-0.422,88.73,14.58,66.07,8.06,56.94,-9,-9,0,-1922,766,43.60,16.87,33,35.82,48.56,3.7,4.6,-0.361,39.2,22.7,1.36,52.1,160.5,293.5,220.5,69,30,3.4,21,29.1,85.1,10.7,14.3,37.4,34.1,34.1,13.3,7.1,16.8,9.8,10.5,10.3,23.8,450.4,12613,50.2,14.9,77.3,3.61,10,0,0.09,0.67,-40.9
Kenwood ,7,18180,20.06,50.96,54.57,13.79,22.81,8.31,11.31,88.69,48.48,13.03,11.88,4.10,15.72,42113,36896,62.26,12.37,12.37,13.52,51.96,14.28,31.32,68.68,12.85,59.82,14.82,7.34,37.03,1.74,1.35,0.63,343000,41.19,6.42,15.10,20.32,34.23,45.45,4.12,17.38,70.63,5.86,17.13,7.17,1.89,49.89,40.10,7.52,38.00,21.71,26,0.011,77.70,14.79,25.14,1.98,35.88,1,1,0,27,125,31.00,7.62,6,25.27,22.61,1.9,1.8,0.271,34.3,18.5,1.05,27.4,105.8,167.6,200.3,47.9,41,0.8,28.2,50,52.3,7.9,7.5,17.6,17.9,17.9,5.5,5.9,3.7,2.3,9.8,4.7,15.1,304.2,8689,45.5,13.4,76.7,2.09,5,0,0.11,0,3.6
Washington Park ,7,11146,33.29,80.71,89.49,11.88,43.99,35.03,25.40,74.60,14.94,18.03,1.01,1.23,28.58,26332,14412,26.91,17.84,17.84,25.24,40.75,26.39,20.11,79.89,18.88,59.49,12.51,5.41,48.94,1.88,5.55,0.97,178633,50.51,8.90,8.99,33.77,26.17,40.06,1.18,0.18,97.63,0.08,51.30,2.30,0.00,53.37,43.57,0.47,57.35,42.06,88,-0.508,88.22,35.38,93.86,10.82,70.71,-9,-9,0,-1755,197,64.86,29.44,27,36.40,182.54,3.1,6.5,-0.569,37.3,21.9,0.78,52.9,170.3,367,289.3,93.7,25.9,13,35.7,68.6,85.9,9.1,32.4,46.1,55.3,55.3,7,9.5,23.9,3.6,20.3,8.1,20.1,496.2,17070,78.3,12.6,68,3.28,3,0,0.00,0.74,
Hyde Park ,7,26541,17.29,32.47,35.15,12.07,18.07,7.24,4.28,95.72,69.52,9.79,17.11,5.99,8.42,53314,38319,82.16,8.19,8.19,8.09,34.71,15.41,37.24,62.76,18.31,53.67,16.25,5.44,34.12,1.52,1.84,1.04,273642,36.18,4.66,12.81,13.36,40.64,46.00,5.95,46.89,33.35,10.73,8.21,29.19,5.91,33.49,30.23,11.11,18.99,18.35,14,0.319,64.88,,19.63,1.00,24.29,7,7,0,-2892,-1142,25.74,4.67,2,18.07,8.46,0.7,1.4,0.392,34.1,18.1,0.80,24.1,84.5,138.1,160.8,36.7,35.8,2.6,9.9,27.5,33.9,14.7,5.1,15.8,4.1,4.1,5.3,4.7,5.6,3.9,12.6,3.5,20.3,226.3,4692,9,9.7,81.4,1.31,6,0,0.19,0.11,-29.6
Woodlawn ,7,24445,22.26,67.47,73.27,13.29,27.88,30.61,16.52,83.48,24.79,15.33,4.64,1.95,23.37,26027,17603,43.38,18.39,18.39,21.38,45.53,26.38,24.53,75.47,13.35,61.25,12.88,4.93,42.70,2.23,4.43,1.18,184418,44.39,6.41,11.55,24.57,32.48,42.95,2.22,6.85,87.06,2.23,31.28,9.87,0.69,55.22,32.94,2.95,42.49,30.67,58,-0.156,92.55,37.93,81.91,3.74,58.30,-11,-11,0,97,558,38.06,16.24,36,27.93,719.23,2.9,7.6,-0.149,38.4,21.2,0.95,48.1,167.7,289,228.3,68.6,29.7,1.6,21.9,59.8,95.4,16.8,10.4,38.8,30.5,30.5,9.3,5.5,20.2,9.3,14.9,5.7,29.1,471.4,12111,56,13.4,71.7,5.21,11,0,0.12,0.93,-83.6
South Shore ,7,47526,22.14,69.22,78.63,13.54,27.83,33.84,13.99,86.01,22.78,16.66,3.07,1.76,19.96,31706,19399,44.57,21.04,21.04,25.29,50.79,24.20,23.89,76.11,14.05,56.47,13.36,5.50,38.62,1.36,2.71,1.02,192607,43.32,6.68,12.25,23.49,31.99,44.52,1.44,1.51,94.44,0.21,32.19,2.32,1.07,57.18,37.66,1.74,40.80,31.08,55,-0.244,94.01,,44.46,6.45,44.88,-11,-11,0,-7790,-87,49.39,18.57,69,33.93,286.33,2.7,5.9,-0.042,41.4,24,0.87,52.2,153.5,289.3,226.3,63.2,31.8,2.3,23.4,41.5,92.1,18.7,16.1,35.5,31.4,31.4,9.5,3.6,16.4,3.9,10,7.4,32,459.4,14034,66.7,13.3,65.1,5.30,20,0,0.00,0.58,-68.4
Chatham ,8,33244,23.37,70.02,76.12,13.74,30.98,36.54,14.51,85.49,22.25,16.77,0.76,0.55,24.01,33550,18910,46.48,17.77,17.77,16.37,58.26,17.28,36.85,63.15,9.28,52.57,13.10,7.43,32.91,0.94,1.22,0.91,154020,42.76,6.83,15.38,24.90,29.69,45.40,0.48,0.54,97.51,0.07,30.12,1.67,0.00,60.39,37.53,0.22,42.60,27.81,60,0.197,85.73,18.77,78.19,7.41,64.23,-7,-11,-4,-2347,-192,67.39,18.95,27,37.93,46.47,2.4,4.8,0.036,42.6,25.1,0.82,37.9,127,225.4,218.6,49.7,36.9,1.5,19,53.6,74.7,15.8,11.4,33.3,43.7,43.7,3.6,7.2,12.7,5.6,12.4,7.7,18.6,392.8,13520,71.7,13.5,67.3,4.94,15,0,0.13,1.38,-67.6
Avalon Park,8,9617,24.83,49.32,64.31,13.82,29.99,31.53,10.60,89.40,23.40,14.57,1.76,1.06,21.09,42953,24426,56.08,17.16,17.16,16.62,59.98,12.14,67.48,32.52,7.21,35.60,16.95,12.01,19.06,0.21,2.12,0.00,171550,36.45,3.69,19.41,19.92,35.85,44.22,0.30,1.75,96.66,0.35,26.97,0.99,0.00,74.18,23.59,1.15,34.51,17.20,41,0.293,97.23,30.88,103.48,13.38,69.13,-1,-5,-4,-591,-241,44.67,17.97,13,29.69,61.31,2.4,3.4,0.073,43.5,26.5,0.73,46.1,110.2,212.4,214.5,41.6,23.1,7.5,20.2,42.5,85,7.1,0,27.6,20.1,20.1,9.4,1.2,5.2,0,10.8,12,17.5,369.6,10998,38.1,11.1,69.4,5.96,2,0,0.10,1.69,-71.8
South Chicago ,8,29458,28.24,51.92,64.29,11.72,34.74,39.79,26.61,73.39,15.06,15.65,12.35,11.10,19.73,28360,15311,37.96,19.79,19.79,25.20,39.76,25.52,41.52,58.48,10.91,47.21,16.43,10.32,31.39,0.50,1.33,0.77,133310,38.49,7.16,12.96,28.12,31.28,40.59,23.63,3.15,71.99,0.63,32.33,3.12,0.11,65.35,29.69,8.63,49.27,29.77,75,-0.619,95.45,20.07,51.85,6.62,49.83,-11,-11,0,-3774,-188,37.89,16.73,53,31.50,276.90,2.8,9.7,-0.303,40.1,22.3,0.70,43.5,137.6,257.4,225.6,48.6,37.4,5.4,22.9,44.4,89.4,10.9,14.6,34.5,35.9,35.9,5.7,4.2,13.3,4.4,13.9,8,23.2,430.4,12924,84.3,11.8,69.5,7.71,15,0,0.03,1.25,-82.2
Burnside ,8,3508,21.97,81.03,90.95,19.70,36.27,104.31,19.31,80.69,9.29,15.22,2.85,0.75,18.55,27500,12515,35.95,22.38,22.38,25.51,66.67,16.46,54.92,45.08,4.64,42.99,13.64,10.23,38.73,0.00,0.00,3.50,132300,41.48,5.53,12.83,29.87,28.48,41.65,0.00,0.57,99.43,0.00,35.61,0.00,0.00,65.57,34.43,1.23,73.09,33.05,79,0.245,96.22,,71.61,13.82,43.97,-7,-9,-2,355,-75,38.75,13.03,2,45.06,,3.1,5.4,-0.251,44.1,27.1,0.50,85.6,129.8,227.4,227.1,70.5,0,7.1,29.1,19.8,69.6,5.1,0,20.9,86.2,86.2,0,6.4,14.2,0,17.2,0,28.5,417.4,13950,105.3,17.1,65.9,7.81,0,327,0.35,2.67,
Calumet Heights ,8,14382,21.88,43.62,48.94,16.04,30.27,43.86,11.00,89.00,28.43,16.37,5.25,1.88,20.02,53311,27402,61.01,13.23,13.23,12.61,52.55,9.19,78.36,21.64,7.63,27.05,14.97,10.08,13.75,0.36,1.36,0.27,171240,28.50,4.34,23.08,20.94,33.63,45.42,4.18,1.36,93.78,0.10,16.24,0.90,0.00,73.32,25.12,2.60,22.80,11.48,38,0.078,86.38,,19.59,2.14,33.12,5,1,-4,-699,-237,41.05,9.92,10,31.62,32.83,1.9,3.2,-0.001,39.3,23.6,0.74,48.9,104.4,214.3,204.4,42.3,29.2,1.8,33.9,61.1,89.2,24,12.1,27.7,23.2,23.2,8.7,2,5.8,0,12,3.2,17.4,373.9,10462,42,15,68.5,2.52,1,0,0.00,1.75,-62.1
Roseland ,8,45285,26.32,56.31,65.47,12.05,34.73,47.92,16.87,83.13,17.20,18.12,1.56,0.60,20.27,39467,18801,47.72,18.53,18.53,21.36,52.37,15.22,57.30,42.70,6.81,40.29,14.70,7.70,23.34,0.21,2.15,0.61,139357,38.46,5.45,17.00,24.18,33.78,42.03,0.79,1.11,96.24,0.48,27.15,2.51,0.12,69.92,26.96,0.74,34.75,19.83,52,-0.087,92.10,34.20,64.04,9.30,51.14,-7,-9,-2,-2766,-106,41.57,16.18,68,34.60,87.86,2.8,5,-0.246,40.3,24.3,0.62,55,150.8,267.3,248.6,66.8,38.7,4,31,67.1,89.9,24.4,8.1,26.1,42.1,42.1,6,4.2,12.4,4.2,11.9,11.4,32.4,428.1,14246,69,14.4,67.3,5.93,13,0,0.00,1.78,-78.1
Pullman ,8,7262,23.16,60.06,76.56,10.72,30.76,50.36,13.11,86.89,20.23,13.59,3.39,4.20,22.77,38692,20483,46.25,16.04,16.04,19.42,43.08,15.18,46.15,53.85,4.73,41.25,17.66,9.01,24.06,0.37,0.37,0.00,129400,30.73,8.55,15.13,23.42,28.68,47.89,7.56,7.19,84.43,0.54,25.80,3.18,0.00,66.60,30.21,2.23,45.20,21.65,51,-0.102,89.40,39.78,133.30,7.49,62.10,-9,-9,0,-882,13,51.33,13.11,6,34.47,35.81,2.1,6.2,-0.308,38.3,21.9,0.18,53.3,155.5,240.9,253.7,53.1,59.3,2.5,31,85,77.6,17.2,2,28.1,25,25,10,7.5,11.7,2,9.1,7.2,37,434.1,10377,40,12.1,75.7,7.07,4,1,0.14,1.35,-71.0
