ZIP,County,Special area,Latitude,Longitude,Population,Age <18,Age 65+,Housing Units,Built 1979 or earlier,Built 1939 or earlier,under 5,5 to  9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85+,Median age,Sex ratio,Age dependency ratio,White,Black,American Indian,Asian,Hispanic/Latino,Race-Ethnicity Diversity Index,Native,Foreign born,Non-citizens,Cancer incidence,Breast cancer incidence,Cervical cancer incidence,Colorectal cancer incidence,Leukemia and lymphoma incidence,Lung cancer incidence,Prostate cancer incidence,Oral cancer incidence,Crowded housing,Speak Spanish at home,Speak English poorly,Male,Female,"Poverty rate, families","Poverty rate, families with children","Poverty rate, families with children <5",Poverty rate,Poverty rate <5,Child poverty rate,Working-age adult poverty rate,Elderly poverty rate,Household poverty rate,Labor force participation,Unemployment,High school graduation rate,College graduation rate,Per capita income,Walk Score,Hardship Index,Gini index of income inequality
62685,Macoupin County,,39.139883,-90.002766,1756,20.33,17.768,782,55.754,21.355,3.815,7.005,5.353,5.467,3.929,6.948,4.897,5.068,9.282,5.752,7.346,8.656,8.713,4.556,6.492,1.765,4.67,0.285,44.4,107.3,61.5,93.96355353,3.872437358,0.113895216,0.056947608,0.911161731,0.115383767,98.86104784,1.138952164,1.082004556,497.17,37.96,*,68.2,55.63,73.98,69.06,15.94,3.418803419,0.769686205,0.296033156,51.76537585,48.23462415,4.426559356,3.621730382,0,,,,,,4.426559356,59.18088737,6.805074971,88.59984698,18.43917368,27082,1,44.43625691,0.3836
62688,Menard County,,39.945973,-89.923096,610,17.377,22.787,307,85.993,42.345,5.082,2.623,7.213,3.443,5.41,10.328,2.951,7.869,4.426,7.869,6.393,6.885,6.721,9.508,5.902,1.311,4.098,1.967,45.3,101.3,67.1,98.68852459,0,0,0,0,0.025885515,99.01639344,0.983606557,0,524.65,61.45,0,73.41,40.92,125.52,70.19,0,1.831501832,0,0,50.32786885,49.67213115,6.179775281,4.494382022,0,,,,,,6.179775281,58.72093023,15.51155116,82.79569892,8.602150538,24803,0,52.2395186,0.3534
62689,Sangamon County,,39.53367,-89.761848,458,15.284,10.48,229,90.393,51.092,4.803,3.712,4.367,4.367,10.262,5.677,5.24,4.367,8.515,9.389,10.699,8.952,9.17,1.528,3.712,0.873,3.057,1.31,44.5,123.4,34.7,96.94323144,0,0,1.746724891,0,0.059724262,96.28820961,3.711790393,1.310043668,440.46,81.9,0,*,*,*,69.84,*,0,0.917431193,0.229357798,55.24017467,44.75982533,6.25,6.25,2.34375,,,,,,6.25,71.57360406,6.028368794,92.46987952,13.25301205,30448,14,30.71703858,0.3855
62690,Macoupin County,,39.505912,-89.762809,4204,25.238,15.485,1828,78.118,32.932,2.878,12.797,5.947,6.185,5.328,6.208,8.516,6.066,5.923,5.566,5.09,5.923,8.088,4.591,4.71,1.903,2.26,2.022,36.6,90.1,68.7,98.52521408,0.166508088,0.285442436,0,0,0.02916268,98.4300666,1.569933397,1.141769743,446.01,56.52,*,51.72,29.62,86.2,61.75,11.13,3.312883436,1.371540534,0,47.38344434,52.61655566,7.734303913,7.006369427,0,,,,,,7.734303913,69.79230299,8.953229399,87.47776592,13.98078975,23766,23,49.15421796,0.3978
62691,Cass County,,39.958257,-90.210428,2080,16.875,22.74,1023,76.442,33.92,4.038,4.952,4.76,4.808,4.183,4.567,5.625,4.519,5.481,9.038,7.981,11.49,5.817,6.731,2.692,4.183,4.375,4.76,49.1,93.8,65.6,93.36538462,0.384615385,0,0.096153846,4.086538462,0.126196838,99.08653846,0.913461538,0.480769231,445.38,70.81,*,55.88,27.49,70.14,48.78,*,0.214592275,1.30260521,0.200400802,48.41346154,51.58653846,6.834532374,2.338129496,0.539568345,,,,,,6.834532374,61.83162685,6.34774609,91.16365899,11.3876789,27113,,39.52220281,0.4183
62692,Morgan County|Sangamon County,,39.58352,-89.939137,1872,24.679,18.91,903,80.288,41.085,10.043,3.686,7.746,5.716,7.532,5.662,4.647,4.06,8.814,8.387,3.846,4.327,6.624,4.594,5.716,2.831,2.564,3.205,40.5,116.2,77.3,99.73290598,0,0,0.267094017,0,0.005327612,97.91666667,2.083333333,1.282051282,502.61,55.08,*,68.72,22.13,73.49,57.88,*,0.384122919,0.593824228,0,53.73931624,46.26068376,8.499095841,6.690777577,1.265822785,,,,,,8.499095841,63.30589849,9.368191721,92.88052373,20.5400982,25598,,43.13718753,0.438
62693,Sangamon County,,39.958048,-89.516172,1755,25.47,9.858,652,61.043,28.988,6.553,6.895,5.071,10.028,4.9,7.407,5.299,5.527,8.262,10.541,4.786,9.003,5.869,3.305,1.937,2.735,1.254,0.627,37.5,90.3,54.6,96.52421652,0,0,0.284900285,1.709401709,0.067874124,99.14529915,0.854700855,0,413.29,57.26,*,54.88,53.45,63.72,40.23,*,0,1.158536585,0.182926829,47.46438746,52.53561254,2.918287938,1.361867704,0,,,,,,2.918287938,75.88192945,6.072106262,97.7739726,33.73287671,33302,0,30.60798283,0.3442
62694,Scott County|Morgan County,,39.62278,-90.477118,2881,21.347,19.368,1379,75.562,40.029,4.408,5.519,6.907,5.797,4.825,4.825,3.228,5.519,6.838,8.053,7.706,10.205,6.803,4.096,5.484,3.853,1.701,4.235,47.1,87.7,68.7,99.23637626,0,0.10413051,0,0.10413051,0.015181151,100,0,0,461.55,46.9,*,59.25,39.94,72.51,45.26,9.79,0,0.181554103,0.254175744,46.71988893,53.28011107,8.894536213,5.590851334,1.27064803,,,,,,8.894536213,64.62324393,8.168642951,88.80382775,12.24880383,26042,,42.94740116,0.4463
62695,Morgan County,,39.627088,-90.22365,229,25.328,10.917,100,45,20,10.917,3.93,6.114,5.677,7.86,1.747,2.183,4.803,3.93,7.86,11.79,12.664,9.607,7.86,1.31,0,0,1.747,46.6,80.3,56.8,95.63318777,0,0,0,0,0.083522435,100,0,0,644.84,*,0,102.61,*,140.91,*,*,3.125,0,0,44.54148472,55.45851528,20,20,10.90909091,,,,,,20,68.36158192,17.3553719,86,10.66666667,21972,0,56.20222768,0.4164
62701,Sangamon County,,39.800708,-89.648813,1045,0.287,10.526,669,68.46,25.411,0,0,0,3.541,16.172,13.78,9.091,6.603,6.89,8.804,10.239,3.923,10.431,4.306,3.254,0,1.914,1.053,42,198.6,12.1,67.55980861,22.20095694,0,5.167464115,3.636363636,0.490080355,93.58851675,6.411483254,6.411483254,561.41,101.09,*,70.56,32.57,106.48,36.92,26.38,0.486223663,3.923444976,0.4784689,66.50717703,33.49282297,9.677419355,0,0,,,,,,9.677419355,39.42583732,6.310679612,84.62455304,35.51847437,26181,76,30.88949225,0.583
